Start_Lat,End_Lng,elapsed_time,day_of_week,hour_of_day,time_period,Temperature(C),Humidity(%),Pressure(atm),Visibility(km),Wind_Direction,Wind_Speed(kmph),Weather_Condition,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight,Severity
38.63568,-90.420755,360.0,0,15,afternoon,6.111111111111111,71.0,0.997587,16.0934,NW,16.737136,cloudy,0.0,0.0,0.0,0.0,2
38.63568,-90.420755,360.0,1,16,afternoon,10.0,54.0,0.992574,16.0934,SE,42.64751,cloudy,0.0,0.0,0.0,0.0,2
38.6355,-90.40071,360.0,2,8,morning,8.277777777777779,68.0,0.9899004,16.0934,W,35.244546,cloudy,0.0,0.0,0.0,0.0,2
38.635679,-90.420755,360.0,2,9,morning,8.277777777777779,68.0,0.9902346,16.0934,W,18.50741,cloudy,0.0,0.0,0.0,0.0,2
38.635679,-90.420755,360.0,2,8,morning,8.277777777777779,68.0,0.9902346,16.0934,W,18.50741,cloudy,0.0,0.0,0.0,0.0,2
38.659209,-90.44879,360.0,2,11,morning,7.777777777777778,61.0,0.9915714,16.0934,W,35.244546,cloudy,0.0,0.0,0.0,0.0,2
38.6345,-90.44905,360.0,2,12,afternoon,7.777777777777778,54.0,0.9919056,16.0934,W,42.64751,cloudy,0.0,0.0,0.0,0.0,2
38.54462,-90.42974,360.0,2,18,evening,5.0,51.0,0.995916,16.0934,W,27.841582,cloudy,1.0,1.0,1.0,0.0,3
38.54462,-90.42974,360.0,3,15,afternoon,0.6111111111111119,59.0,1.0066104,16.0934,W,16.737136,cloudy,0.0,0.0,0.0,0.0,2
38.54462,-90.42974,360.0,3,17,afternoon,0.6111111111111119,59.0,1.0069446,16.0934,W,16.737136,cloudy,0.0,0.0,0.0,0.0,3
38.58496,-90.4474,360.0,3,17,afternoon,0.0,73.0,1.0062761999999998,11.26538,WNW,22.208892,cloudy,1.0,0.0,0.0,0.0,2
38.60996,-90.45012,360.0,4,15,afternoon,15.61111111111111,42.0,1.0089498,16.0934,NW,14.805927999999998,cloudy,0.0,0.0,0.0,0.0,2
38.55195,-90.42371,360.0,1,8,morning,10.61111111111111,71.0,1.014297,16.0934,ESE,18.50741,cloudy,0.0,0.0,0.0,0.0,2
38.63866,-90.48283,360.0,1,16,afternoon,20.0,43.0,1.0092839999999998,16.0934,ESE,24.1401,cloudy,0.0,0.0,0.0,0.0,3
38.63592,-90.41524,360.0,1,18,evening,17.22222222222222,56.0,1.0099524,16.0934,ESE,16.737136,cloudy,1.0,0.0,0.0,0.0,2
38.57852000000001,-90.44839,360.0,2,6,morning,11.72222222222222,69.0,1.0069446,16.0934,SE,13.035654,cloudy,1.0,1.0,0.0,0.0,2
38.57852000000001,-90.44839,360.0,3,7,morning,12.77777777777778,72.0,1.0089498,16.0934,NNW,18.50741,cloudy,1.0,0.0,0.0,0.0,2
38.59802,-90.45076,360.0,3,7,morning,12.77777777777778,72.0,1.0089498,16.0934,NNW,18.50741,cloudy,1.0,0.0,0.0,0.0,2
38.57968,-90.44839,360.0,3,17,afternoon,13.88888888888889,64.0,1.010955,16.0934,ESE,13.035654,cloudy,0.0,0.0,0.0,0.0,2
38.57852000000001,-90.44839,360.0,2,6,morning,20.0,59.0,1.0049394,16.0934,SSW,13.035654,cloudy,1.0,1.0,0.0,0.0,3
38.70034,-90.42971,360.0,2,7,morning,20.611111111111107,61.0,1.0056078,16.0934,SSW,11.104446,cloudy,0.0,0.0,0.0,0.0,2
38.635679,-90.420755,360.0,2,8,morning,20.611111111111107,61.0,1.0056078,16.0934,SSW,11.104446,cloudy,0.0,0.0,0.0,0.0,3
38.63812,-90.43989,360.0,2,15,afternoon,28.88888888888889,47.0,1.0039368,16.0934,SSW,18.50741,cloudy,0.0,0.0,0.0,0.0,2
38.63809000000001,-90.439871,368.6666666666667,2,16,afternoon,28.88888888888889,47.0,1.0039368,16.0934,SSW,18.50741,cloudy,0.0,0.0,0.0,0.0,2
38.70659000000001,-90.50732,360.0,2,19,evening,18.88888888888889,90.0,1.0079472,4.82802,ENE,13.035654,rain,1.0,1.0,1.0,1.0,2
